PlayerId;Year;Team Id;League Id;GP;G;A;PIM;+/-;PP G;PP A;SH G;SH A;GR;GWG;SOG;FO;FO W;HIT;GvA;TkA;SB;TOI;PPTOI;SHTOI;Fights;Fights Won
489;2022;5;0;42;12;43;10;15;2;13;1;1;70;3;98;732;441;73;37;12;38;40255;7639;2665;0;0
491;2020;9;0;50;3;11;12;1;0;0;0;0;56;1;76;12;4;64;26;15;34;45839;647;3241;0;0
491;2021;9;0;50;8;12;36;26;0;1;0;0;61;3;115;7;2;60;34;17;49;52366;3112;4233;0;0
492;2020;6;0;50;9;1;2;-3;1;1;1;0;52;3;43;307;185;10;8;2;11;22177;75;786;0;0
492;2021;6;0;50;14;25;18;10;5;6;0;0;63;3;131;751;428;65;19;10;32;43598;7206;58;0;0
492;2022;6;0;50;20;23;56;-5;9;7;0;0;63;5;133;548;319;70;25;18;44;44987;8033;41;0;0
524;2020;2;0;42;4;8;39;-18;0;0;0;0;55;1;52;17;10;72;19;5;2;26531;101;109;3;1
524;2021;2;0;50;12;17;45;10;2;3;0;0;63;0;96;26;8;113;24;0;10;41246;2952;21;3;0
524;2022;2;0;50;16;21;23;10;1;1;0;0;65;1;100;69;20;86;32;4;14;45466;2790;19;3;1
534;2020;8;0;50;2;12;49;-15;0;0;1;0;53;0;63;3;2;89;13;23;33;51498;2068;5351;1;0
534;2021;14;0;50;1;10;18;-30;0;0;0;0;55;1;56;0;0;64;17;29;55;55014;402;5443;0;0
534;2022;14;0;50;6;15;11;6;0;0;0;2;60;1;63;23;11;24;17;30;71;50537;307;9305;1;1
583;2022;5;0;26;4;8;18;-5;3;2;0;0;55;0;24;53;26;21;11;2;12;13160;2367;90;0;0
590;2021;6;0;10;0;2;0;-2;0;0;0;0;52;0;4;6;0;4;0;1;4;3000;42;1365;0;0
