PlayerId;Year;TeamId;LeagueId;GP;G;A;PIM;+/-;PP G;PP A;SH G;SH A;GR;GWG;SOG;FO;FO W;HIT;GvA;TkA;SB;TOI;PPTOI;SHTOI;Fights;Fights Won
458;2021;2;9999;24;16;10;4;14;2;1;0;0;65;1;68;22;11;11;11;5;33;22433;2479;74;0;0
458;2022;2;9999;12;4;5;6;-3;0;1;0;0;62;1;32;18;8;11;5;3;16;11882;1430;43;0;0
461;2021;3;9999;8;2;1;8;-1;0;0;0;0;64;0;14;15;9;9;4;4;11;8286;1226;313;0;0
461;2022;3;9999;17;7;7;0;14;0;0;0;0;62;2;43;34;14;26;4;6;15;15906;775;487;0;0
472;2022;9;9999;12;2;2;2;1;0;0;0;0;49;0;8;2;0;8;4;0;3;6110;0;74;0;0
479;2020;7;9999;7;2;0;0;-3;0;0;0;0;52;0;14;0;0;8;3;3;9;6361;0;0;0;0
479;2021;7;9999;4;0;1;2;0;0;0;0;0;59;0;6;0;0;13;2;2;2;3442;226;0;0;0
479;2022;7;9999;5;0;3;4;1;0;0;0;0;62;0;6;2;1;14;4;2;7;5564;283;390;0;0
481;2020;1;9999;12;0;3;10;1;0;0;0;0;51;0;6;3;1;2;7;0;0;4632;47;393;2;0
481;2021;1;9999;17;1;6;7;4;0;0;0;0;57;0;23;0;0;22;13;7;5;16009;82;881;1;1
481;2022;1;9999;11;0;3;4;0;0;0;0;0;59;0;12;1;0;24;13;2;5;12470;583;597;0;0
489;2020;5;9999;16;1;2;4;0;0;0;0;0;50;0;16;12;4;2;10;1;3;6588;596;84;0;0
489;2021;5;9999;6;2;0;2;-3;0;0;0;0;59;0;13;84;52;5;2;4;6;5983;275;0;0;0
491;2020;9;9999;20;1;8;10;4;0;0;0;0;58;1;38;1;1;17;6;6;11;17643;0;666;0;0
491;2021;9;9999;11;0;3;4;-4;0;0;0;0;59;0;10;0;0;17;7;3;9;11766;262;768;0;0
492;2020;6;9999;5;0;0;0;-1;0;0;0;0;51;0;3;30;18;0;0;1;1;1911;0;0;0;0
492;2021;6;9999;6;3;1;0;0;1;1;0;0;62;0;17;91;53;16;6;3;9;7221;706;0;0;0
492;2022;6;9999;11;4;4;0;-1;1;2;0;0;60;1;32;198;108;15;3;3;12;10009;1162;75;0;0
524;2021;2;9999;24;3;4;14;-9;1;0;0;0;59;1;53;28;12;23;15;3;11;22484;1014;0;0;0
524;2022;2;9999;12;3;5;2;2;0;1;0;0;64;0;28;17;7;14;7;2;3;11761;380;0;0;0
534;2020;8;9999;7;0;2;2;0;0;0;0;0;53;0;7;0;0;13;3;5;6;7743;262;364;0;0
534;2021;14;9999;4;0;1;0;-3;0;0;0;0;56;0;4;0;0;3;0;2;5;4850;0;239;0;0
534;2022;14;9999;5;0;0;0;-3;0;0;0;0;55;0;5;2;0;2;2;3;5;5591;0;610;0;0
583;2022;5;9999;7;1;1;0;-1;0;0;0;0;56;0;8;48;32;4;2;0;3;3306;324;6;0;0
