PlayerId;Year;Team Id;League Id;GP;G;A;PIM;+/-;PP G;PP A;SH G;SH A;GR;GWG;SOG;FO;FO W;HIT;GvA;TkA;SB;TOI;PPTOI;SHTOI;Fights;Fights Won
164;2019;4;9999;2;0;0;0;-1;0;0;0;0;51;0;3;0;0;0;1;0;0;672;0;0;0;0
164;2020;4;9999;14;7;2;0;4;0;0;0;0;55;1;26;6;3;5;4;1;2;8738;0;0;0;0
164;2021;4;9999;17;3;5;0;4;0;1;0;0;58;0;37;0;0;8;2;3;4;15811;726;0;0;0
164;2022;4;9999;17;3;10;6;8;0;0;0;0;62;0;41;4;2;10;8;8;11;17240;1337;53;0;0
169;2019;5;9999;12;0;2;2;-2;0;0;0;0;51;0;9;0;0;14;4;3;18;10622;0;817;0;0
176;2023;5;9999;20;3;5;4;3;1;2;0;0;63;1;40;2;2;15;11;10;42;21945;2581;1537;0;0
176;2020;5;9999;16;2;3;7;5;0;0;0;0;58;0;19;1;0;10;5;5;4;17432;0;1646;1;0
176;2021;5;9999;6;1;1;2;-3;0;0;0;0;71;0;19;0;0;4;0;4;3;7654;201;721;0;0
176;2022;5;9999;7;0;3;2;6;0;0;0;0;66;0;17;0;0;8;2;2;18;9662;244;712;0;0
180;2019;5;9999;12;1;3;2;-8;0;0;0;0;54;1;19;37;13;9;6;4;12;10075;528;1422;0;0
180;2020;5;9999;16;2;1;2;3;0;0;0;0;55;0;24;38;9;7;7;11;21;13800;0;1799;0;0
182;2023;9;9999;5;2;2;0;0;0;1;0;0;70;0;12;6;3;9;3;2;8;4729;903;84;0;0
182;2020;9;9999;20;1;3;2;0;0;0;0;0;51;0;6;0;0;5;1;1;2;6629;0;18;0;0
182;2021;9;9999;11;0;0;0;-3;0;0;0;0;52;0;8;0;0;2;4;1;4;8200;0;42;0;0
182;2022;9;9999;12;7;5;2;-3;1;0;0;0;61;1;24;0;0;20;8;2;20;12535;508;0;0;0
183;2021;8;9999;4;1;4;0;-1;1;1;0;0;54;0;8;3;0;7;1;0;2;2993;388;0;0;0
184;2020;1;9999;12;1;2;2;1;0;0;0;0;51;0;5;5;4;3;4;2;0;3882;15;0;0;0
184;2021;15;9999;10;1;4;2;1;0;0;0;0;56;0;5;23;10;5;4;3;11;5838;0;722;0;0
184;2022;15;9999;6;0;0;0;-2;0;0;0;0;52;0;2;2;1;1;3;3;1;2938;0;188;0;0
184;2023;15;9999;13;2;9;0;5;0;0;0;0;56;0;22;2;1;13;8;2;3;12482;0;106;0;0
187;2023;7;9999;4;2;2;2;1;0;0;0;0;63;0;4;51;22;6;2;5;3;3864;139;25;0;0
187;2022;7;9999;5;0;0;0;-1;0;0;0;0;55;0;1;9;5;6;4;1;12;3504;97;152;0;0
189;2023;9;9999;5;0;2;0;2;0;0;0;0;62;0;6;76;31;4;6;2;7;4898;217;142;0;0
189;2022;9;9999;12;0;0;2;-2;0;0;0;0;60;0;16;145;63;14;4;5;11;9587;0;240;0;0
191;2023;2;9999;5;1;1;0;-1;0;0;0;0;67;0;6;65;33;0;2;2;6;4974;0;226;0;0
191;2021;2;9999;24;2;4;6;-2;0;2;0;0;53;0;12;13;6;1;4;2;10;11454;996;298;0;0
191;2022;2;9999;12;1;1;0;-3;0;0;0;0;58;0;10;132;79;7;1;3;20;10907;320;0;0;0
193;2019;5;9999;12;2;2;0;1;0;0;0;0;57;1;11;8;2;2;2;2;11;5181;0;899;0;0
194;2023;14;9999;5;0;0;0;-2;0;0;0;0;58;0;5;7;2;3;1;2;0;3955;384;93;0;0
194;2021;14;9999;4;0;1;0;-5;0;0;0;0;52;0;10;3;2;4;0;2;1;4218;122;0;0;0
194;2022;14;9999;5;0;1;12;1;0;1;0;0;57;0;9;2;2;0;7;1;5;3937;277;0;0;0
196;2019;5;9999;12;1;2;4;-3;0;0;0;0;58;0;22;15;5;16;6;5;14;12633;483;0;0;0
196;2020;5;9999;16;1;2;2;2;0;0;0;0;54;0;12;12;5;14;4;2;6;7321;88;939;0;0
196;2021;5;9999;6;1;2;0;0;0;0;1;0;61;0;17;23;8;8;3;2;7;5577;275;756;0;0
196;2022;5;9999;7;1;1;0;-1;0;0;0;0;55;0;11;22;10;13;4;1;4;5178;0;761;0;0
210;2023;6;9999;6;0;2;0;-4;0;1;0;0;54;0;13;2;1;9;11;3;10;6014;379;818;0;0
210;2019;6;9999;4;0;0;0;-2;0;0;0;0;50;0;2;0;0;7;1;2;5;4542;0;137;0;0
210;2020;6;9999;5;1;0;0;-2;0;0;0;0;58;0;12;3;1;6;2;5;13;6068;0;799;0;0
210;2021;6;9999;6;0;2;7;2;0;0;0;0;58;0;13;0;0;18;0;0;8;8547;15;367;1;0
210;2022;6;9999;11;1;8;5;3;0;0;0;1;57;0;25;1;0;12;9;4;17;12806;0;1084;1;1
