PlayerId;Year;Team Id;League Id;GP;G;A;PIM;+/-;PP G;PP A;SH G;SH A;GR;GWG;SOG;FO;FO W;HIT;GvA;TkA;SB;TOI;PPTOI;SHTOI;Fights;Fights Won
291;2021;8;9999;6;1;4;4;-4;0;2;0;0;67;0;18;35;13;12;4;2;8;6423;1155;667;0;0
291;2019;8;9999;7;1;4;2;0;0;0;0;0;63;0;22;28;18;11;5;6;7;8044;912;558;0;0
291;2020;8;9999;5;2;1;0;0;1;0;0;0;63;0;13;9;7;5;1;2;2;5692;451;279;0;0
301;2021;9;9999;11;2;2;4;1;1;1;0;0;70;0;47;0;0;15;4;9;23;13228;1496;723;0;0
301;2019;9;9999;17;2;7;6;2;0;0;0;0;78;1;44;0;0;26;6;15;34;24578;865;895;0;0
301;2020;9;9999;6;0;3;0;-5;0;0;0;0;66;0;21;0;0;21;2;0;5;8643;809;261;0;0
303;2021;9;9999;11;1;4;0;-2;0;0;0;0;62;0;26;0;0;12;7;7;25;11901;484;556;0;0
303;2019;9;9999;17;2;7;6;-5;0;2;0;0;79;0;54;0;0;24;8;12;48;24068;2706;1526;0;0
303;2020;9;9999;6;2;1;0;0;1;0;0;0;81;0;18;0;0;12;0;1;9;8304;809;258;0;0
304;2021;9;9999;11;5;1;2;0;0;0;0;0;57;2;37;0;0;11;2;2;17;13303;28;479;0;0
304;2019;9;9999;17;3;3;2;4;0;1;0;0;61;0;42;0;0;18;6;7;42;24174;889;1089;0;0
304;2020;9;9999;6;2;2;2;1;0;0;0;0;69;0;18;0;0;14;0;4;13;8361;443;228;0;0
306;2021;9;9999;11;1;0;4;-2;0;0;0;0;56;0;23;0;0;15;6;6;18;11916;28;208;0;0
306;2019;9;9999;17;2;2;7;-4;1;1;0;0;56;0;38;0;0;33;15;8;51;23817;2533;1669;1;0
306;2020;9;9999;6;0;0;0;-3;0;0;0;0;59;0;13;0;0;13;7;5;9;8629;443;241;0;0
307;2019;9;9999;17;0;1;7;-2;0;0;0;0;53;0;14;0;0;10;5;1;33;13505;276;978;1;0
307;2020;9;9999;6;2;1;2;-1;0;0;0;0;52;1;5;0;0;4;1;1;4;4235;3;214;0;0
310;2021;9;9999;11;0;9;4;-2;0;1;0;1;65;0;30;193;86;24;3;8;9;12585;1547;319;0;0
310;2019;9;9999;17;5;15;6;4;2;2;0;0;76;1;73;370;195;23;13;9;16;22747;2411;1504;0;0
310;2020;9;9999;6;1;2;4;0;0;1;0;0;76;0;27;108;52;3;2;8;2;7226;862;200;0;0
313;2019;9;9999;17;6;4;2;-3;0;1;0;0;58;1;52;17;6;23;16;5;22;21015;979;178;0;0
313;2020;9;9999;6;1;2;0;-2;0;0;0;0;58;0;18;5;1;8;5;0;1;7028;0;0;0;0
323;2021;9;9999;11;5;6;2;10;0;0;0;0;63;2;26;1;0;13;7;3;8;11874;1530;296;0;0
323;2019;9;9999;17;2;5;6;4;0;1;1;0;65;0;53;74;36;18;8;12;27;22554;2411;1458;0;0
323;2020;9;9999;6;1;3;2;-3;0;0;0;0;64;0;26;0;0;1;2;0;5;7093;862;125;0;0
324;2021;9;9999;11;2;3;5;-2;0;0;0;0;55;0;26;0;0;12;5;1;25;12547;484;0;0;0
