Id,GoalieId,Player Name,LeagueId,TeamId,SubtotalForId,Season,isPlayoffs,GamesPlayed,Wins,Losses,OvertimeLosses,Minutes,PenaltyMinutes,Shutouts,GoalsAgainst,ShotsAgainst,Assists,EmptyGoalAgainst,PenaltyShotAttempts,Starts,Backups,PenaltyShotSaves
357,100055,Jakub Aittokallio,1,3,,18,0,44,31,8,5,2693,4,5,95,1086,0,0,30,44,6,22
358,100048,Cyan Winters,1,7,,18,0,6,1,4,0,341,0,0,15,140,1,0,0,5,45,0
359,100060,C.J. James,1,11,,18,0,43,20,21,2,2604,0,2,117,1037,4,1,13,43,7,9
360,100050,Jamie Shetler,1,11,,18,0,7,5,2,0,424,0,2,16,151,0,0,3,7,43,2
361,100062,Eric White,1,4,,18,0,7,3,4,0,420,0,0,22,165,0,0,0,7,43,0
362,100069,Sterling Slade,1,4,,18,0,43,32,9,2,2616,4,6,85,1067,2,1,22,43,7,16
363,100026,Marshall MacPherson,1,2,,18,0,7,4,3,0,419,2,0,21,178,0,1,0,7,43,0
364,100045,Edwin Ask,1,7,,18,0,45,28,13,4,2690,0,2,101,991,0,0,22,45,5,14
365,100064,Sergei Bobrovsky,1,12,,18,0,25,11,11,3,1524,6,2,72,699,0,1,18,25,25,13
366,100057,Jermaine Tennyson,1,12,,18,0,25,12,12,1,1511,2,5,59,711,3,2,6,25,0,4
367,100066,Dustin Rose,1,5,,18,0,44,18,17,9,2687,2,5,108,1122,0,0,41,44,6,30
368,100065,Jordin FourFour,1,1,,18,0,42,19,20,3,2546,2,4,102,1082,2,1,20,42,8,17
2033,100209,Andr? Pfosten,2,17,,18,1,11,8,2,1,670,0,0,31,237,1,0,0,11,0,0
2034,100079,Colin Schmidt,2,15,,18,1,5,1,2,1,276,0,0,16,134,0,1,0,5,0,0
2035,100213,M?rti?? P?tersons,2,15,,18,1,1,0,0,1,53,0,0,2,20,0,0,0,0,5,0
2036,100072,Aboud Chamas,2,21,,18,1,4,2,1,1,262,0,0,12,94,0,0,0,4,2,0
2037,100092,Mathias Lundgren,2,21,,18,1,2,0,1,1,127,0,0,6,51,0,0,0,2,4,0
2038,100071,Dominik Makarov,2,50,,18,1,3,1,1,0,87,0,0,2,21,0,0,0,0,17,0
2039,100074,Dymo Ranjan,2,48,,18,1,6,2,2,1,319,0,0,18,137,0,0,0,6,0,0
2040,100073,Kevin Griffin,2,49,,18,1,11,5,5,1,655,0,1,37,270,2,0,0,11,0,0
2041,100215,Mitch Kostur,2,49,,18,1,1,0,0,0,35,0,0,1,13,0,0,0,0,11,0
2042,100077,Jackson Weekes,2,50,,18,1,17,9,5,1,1007,0,1,56,426,1,0,0,17,0,0
2043,100212,Jam Scruffy,2,48,,18,1,2,0,0,1,75,0,0,4,28,0,0,0,0,6,0
1511,100209,Andr? Pfosten,2,17,,18,0,24,15,6,3,1431,2,2,49,461,4,1,13,24,16,10
1512,100083,Mike Schmidt,2,17,,18,0,17,10,5,1,991,0,1,40,349,2,0,3,16,24,2
1513,100072,Aboud Chamas,2,21,,18,0,19,3,11,2,988,4,0,54,390,0,0,12,16,24,9
1514,100092,Mathias Lundgren,2,21,,18,0,27,13,11,0,1433,2,1,66,540,0,0,6,24,16,6
1515,100074,Dymo Ranjan,2,48,,18,0,32,11,16,4,1743,0,2,78,668,0,1,24,29,11,17
1516,100079,Colin Schmidt,2,15,,18,0,21,13,7,0,1241,2,2,40,512,0,2,18,20,20,15
1517,100077,Jackson Weekes,2,50,,18,0,29,14,10,4,1652,2,1,76,588,0,0,16,28,12,13
1518,100071,Dominik Makarov,2,50,,18,0,13,5,5,2,734,2,1,32,273,0,0,5,12,9,3
1519,100214,ZzJack's Robot Roberts,2,50,,18,0,2,0,0,0,48,0,0,1,14,0,0,0,0,19,0
1520,100073,Kevin Griffin,2,49,,18,0,31,15,11,3,1682,4,1,85,728,1,1,20,30,10,14
1521,100215,Mitch Kostur,2,49,,18,0,15,4,5,2,745,0,0,33,297,2,1,2,10,30,1
1522,100212,Jam Scruffy,2,48,,18,0,14,3,4,2,693,0,0,38,263,0,0,12,11,29,7
1523,100213,M?rti?? P?tersons,2,15,,18,0,20,14,6,0,1191,0,1,49,425,0,2,12,20,20,12
369,100029,Jonas Gustavo,1,1,,18,0,8,4,3,1,491,0,0,19,217,0,0,7,8,42,7
370,100053,Mika Aalto,1,10,,18,0,44,11,27,6,2667,6,1,137,1296,1,3,21,44,6,12
371,100041,Fabian Fuhrberg,1,6,,18,0,6,1,4,1,362,0,1,18,179,1,0,0,6,44,0
372,100059,Urijah Winnfield,1,2,,18,0,43,25,14,4,2618,2,2,103,955,3,1,27,43,7,16
373,100054,James Reimer,1,6,,18,0,44,19,20,5,2669,0,3,103,1208,0,0,20,44,6,12
374,100071,Dominik Makarov,1,10,,18,0,6,0,6,0,359,0,0,23,181,0,0,0,6,44,0
375,100070,Gustav Grimm,1,5,,18,0,6,4,1,1,375,2,0,20,159,0,0,9,6,44,6
376,100056,Lauris Prikulis,1,14,,19,0,44,24,18,2,2665,0,7,101,1217,0,1,15,44,6,12
377,100051,Mike Verminski,1,9,,19,0,38,19,18,1,2294,2,4,86,943,1,0,6,38,12,5
378,100055,Jakub Aittokallio,1,3,,19,0,44,20,16,8,2679,6,4,96,1104,2,1,23,44,6,11
379,100045,Edwin Ask,1,7,,19,0,42,30,8,4,2544,2,7,90,933,3,1,10,42,8,5
380,100050,Jamie Shetler,1,11,,19,0,33,19,10,4,1996,2,6,74,703,0,0,10,33,17,7
381,100060,C.J. James,1,11,,19,0,17,8,7,2,1028,2,1,38,417,1,0,7,17,33,3
382,100069,Sterling Slade,1,4,,19,0,28,16,12,0,1681,2,4,64,620,2,2,3,28,22,3
383,100059,Urijah Winnfield,1,,,19,0,34,18,12,4,2069,2,2,80,825,1,1,25,34,18,18
384,100053,Mika Aalto,1,2,,19,0,6,0,5,1,365,0,0,22,148,0,0,0,6,44,0
385,100057,Jermaine Tennyson,1,12,,19,0,41,20,13,8,2491,8,2,102,1124,1,0,19,41,9,16
386,100054,James Reimer,1,9,,19,0,12,8,3,1,739,6,1,33,304,1,0,11,12,38,10
387,100048,Cyan Winters,1,5,,19,0,6,5,1,0,366,0,0,14,118,1,0,3,6,44,3
388,100066,Dustin Rose,1,5,,19,0,44,23,18,3,2671,4,0,117,1224,0,1,23,44,6,16
389,100029,Jonas Gustavo,1,1,,19,0,6,1,5,0,360,0,0,24,164,0,0,0,6,44,0
390,100065,Jordin FourFour,1,1,,19,0,44,22,19,3,2649,2,6,99,1096,2,1,5,44,6,4
391,100071,Dominik Makarov,1,10,,19,0,6,2,2,2,372,0,1,21,149,0,0,6,6,44,2
392,100041,Fabian Fuhrberg,1,6,,19,0,17,7,10,0,1029,2,0,52,432,0,0,3,17,33,3
393,100026,Marshall MacPherson,1,6,,19,0,33,12,19,2,1978,2,1,96,840,0,2,0,33,17,0
394,100043,Noah Robinson,1,12,,19,0,9,6,2,1,550,0,1,21,257,1,0,6,9,22,5
395,100076,Andre Pfosten,1,14,,19,0,6,6,0,0,361,2,1,12,142,0,0,0,6,44,0
396,100075,Peter Vayne,1,3,,19,0,6,2,2,2,369,0,1,18,128,0,0,4,6,44,1
397,100073,Kevin Griffin,1,7,,19,0,8,5,2,1,484,2,0,19,198,1,1,2,8,42,1
398,100074,Dymo Ranjan,1,10,,19,0,44,22,16,6,2676,2,2,117,1162,1,1,22,44,6,14
399,100059,Urijah Winnfield,1,4,383,19,0,22,14,4,4,1348,2,2,50,524,1,0,25,22,18,18
400,100072,Aboud Chamas,1,2,,19,0,32,5,24,3,1931,2,0,97,851,1,1,10,32,14,6
401,100059,Urijah Winnfield,1,2,383,19,0,12,4,8,0,721,0,0,30,301,0,1,0,12,0,0
1275,100056,Lauris Prikulis,1,14,,19,1,18,12,4,2,1212,2,0,46,595,0,0,0,18,0,0
1276,100051,Mike Verminski,1,9,,19,1,7,3,2,2,466,0,0,23,213,0,0,0,7,0,0
2044,100083,Mike Schmidt,2,17,,19,1,15,12,2,1,869,2,1,42,388,1,0,0,15,0,0
2045,100213,M?rti?? P?tersons,2,15,,19,1,1,0,0,0,33,0,0,4,10,0,0,0,0,5,0
2046,100079,Colin Schmidt,2,15,,19,1,5,1,3,1,276,0,1,15,112,0,0,0,5,0,0
2047,100218,Charlie Serpe II,2,21,,19,1,6,1,3,1,305,4,1,20,125,0,0,0,6,0,0
2048,100092,Mathias Lundgren,2,21,,19,1,2,1,0,0,67,0,0,3,32,0,0,0,0,6,0
2049,100217,Akash Kar,2,17,,19,1,1,0,0,0,45,0,0,2,11,0,0,0,0,15,0
2050,100082,Arton Laxk,2,49,,19,1,4,0,3,1,222,0,0,15,119,1,1,0,4,0,0
2051,100090,Phil Osgoode,2,49,,19,1,1,0,0,0,20,2,0,1,9,0,0,0,0,4,0
2052,100077,Jackson Weekes,2,50,,19,1,15,9,6,0,893,0,0,45,410,1,1,0,15,0,0
2053,100078,Ryan Winters,2,50,,19,1,1,0,0,0,34,0,0,2,24,0,0,0,0,15,0
2054,100080,Jakob Tanner,2,48,,19,1,5,1,2,2,319,0,0,14,128,1,0,0,5,0,0
