PlayerId;TeamId;FranchiseId;GP;G;A;+/-;PIM;PP G;PP A;SH G;SH A;Fights;Fights_Won;HIT;GvA;TkA;SB;GR;Game Rating Off;Game Rating Def;SOG;TOI;PPTOI;SHTOI;PDO;GF/60;GA/60;SF/60;SA/60;CF;CA;CF%;CF% rel;FF;FA;FF%;FF% rel
610;9;9;10;0;1;-6;4;0;0;0;0;0;0;18;7;2;8;53;60;44;20;11187;0;922;94.4;1.3;3.5;30.9;36.4;198;211;48.4;-5.8;142;160;47.0;-6.2
613;21;21;6;1;1;-2;0;0;0;0;0;0;0;3;3;1;5;55;62;45;18;6929;67;0;99.1;2.1;3.1;29.6;39.5;114;156;42.2;1.6;79;113;41.1;1.3
617;21;21;6;1;0;-2;0;0;0;0;0;0;0;7;1;1;7;55;55;51;17;6740;0;0;97.8;3.7;4.8;39.5;41.1;134;147;47.7;10.0;102;117;46.6;9.8
618;9;9;10;1;1;-3;2;0;0;0;0;0;0;13;8;4;29;60;51;68;20;11776;748;906;97.7;1.8;2.8;33.6;35.5;221;216;50.6;-2.6;156;161;49.2;-2.9
625;6;6;4;1;0;0;0;0;0;0;0;0;0;8;3;0;3;57;62;51;9;4592;46;43;100.0;1.6;1.6;30.6;30.6;85;75;53.1;9.5;66;56;54.1;9.5
631;9;9;10;1;3;-6;0;0;0;0;0;0;0;18;4;2;11;53;51;52;15;9354;0;701;91.6;1.9;4.2;34.6;30.4;178;149;54.4;3.0;130;113;53.5;3.4
634;19;19;7;0;1;0;0;0;0;0;0;0;0;6;5;3;18;53;48;56;6;6104;0;479;103.1;2.4;2.4;25.4;38.3;84;144;36.8;-6.0;60;100;37.5;-7.7
646;13;13;6;1;2;-1;2;0;0;0;1;0;0;15;2;0;1;71;73;62;16;7232;586;385;99.5;1.0;1.5;31.4;40.8;128;143;47.2;-0.9;87;110;44.2;-7.4
648;19;19;7;4;5;1;2;2;1;0;0;0;0;19;4;4;2;64;76;52;22;9227;588;267;100.5;2.0;2.0;30.0;32.4;153;172;47.1;8.9;117;119;49.6;9.6
681;5;5;5;0;0;-10;0;0;0;0;0;0;0;16;5;3;9;57;57;54;8;6340;311;132;89.0;0.6;6.2;18.2;44.3;72;161;30.9;0.6;50;121;29.2;-1.8
687;19;19;7;4;3;2;12;2;1;0;0;0;0;10;7;5;10;66;72;55;22;8788;605;178;104.4;2.5;1.6;31.1;47.5;128;219;36.9;-7.2;103;160;39.2;-6.9
692;7;7;12;9;9;7;0;1;3;0;0;0;0;18;6;6;20;73;81;61;52;13744;1387;498;102.4;5.0;3.1;42.2;33.3;306;228;57.3;2.2;223;175;56.0;1.3
700;21;21;6;0;3;-6;0;0;1;0;0;0;0;13;4;1;4;54;57;48;7;7434;381;196;96.5;2.4;5.3;35.4;51.3;127;174;42.2;1.7;101;142;41.6;2.2
702;15;15;9;0;3;-5;4;0;0;0;0;0;0;7;17;2;16;60;54;64;31;10540;680;241;92.5;2.4;4.1;41.0;30.7;209;174;54.6;-3.7;154;126;55.0;-3.9
703;1;1;23;8;11;6;0;1;1;0;0;0;0;22;13;7;37;60;62;55;69;27002;1847;1760;100.3;3.6;2.7;42.9;32.8;585;486;54.6;3.4;440;354;55.4;4.9
718;5;5;5;1;1;-7;0;0;0;0;0;0;0;4;2;0;5;57;70;41;10;5842;311;132;95.8;1.8;6.2;25.3;53.6;75;152;33.0;3.8;54;115;32.0;2.3
731;7;7;12;0;5;-5;5;0;0;0;0;1;1;25;9;9;26;76;56;88;25;13393;0;460;94.5;2.2;3.5;43.3;33.3;293;223;56.8;1.4;230;171;57.4;3.3
736;12;12;5;0;3;-7;0;0;1;0;0;0;0;13;2;1;22;72;58;83;12;6299;450;507;94.7;1.1;5.1;21.7;48.6;67;153;30.5;-1.2;53;109;32.7;1.0
742;6;6;4;1;0;-4;0;0;0;0;0;0;0;3;3;1;5;62;53;71;6;4155;0;221;89.6;2.6;6.1;28.6;31.2;68;70;49.3;3.2;55;51;51.9;5.4
751;10;10;4;0;1;0;0;0;0;0;0;0;0;7;2;1;10;50;49;48;4;4748;131;74;102.4;2.3;2.3;30.3;44.7;66;105;38.6;7.7;52;77;40.3;12.6
768;1;1;23;15;4;7;8;3;0;0;0;0;0;36;11;8;16;61;66;53;67;26067;1831;78;101.9;3.9;2.8;38.4;34.0;496;442;52.9;0.5;374;335;52.8;0.6
779;0;0;22;1;13;20;0;0;0;0;0;0;0;24;0;3;12;62;58;64;50;22612;0;206;103.8;4.9;1.8;43.6;23.4;530;286;65.0;3.2;388;211;64.8;2.4
782;10;10;4;0;0;-4;0;0;0;0;0;0;0;1;3;3;5;54;56;54;7;3710;0;0;95.8;1.0;4.9;15.5;46.6;36;83;30.3;-4.6;24;64;27.3;-6.8
786;3;3;4;1;0;-7;0;0;0;0;0;0;0;7;2;3;14;61;60;58;6;4472;392;69;89.6;1.6;7.2;23.3;41.9;55;103;34.8;-0.2;41;69;37.3;3.9
794;0;0;22;10;8;10;2;0;0;0;0;0;0;29;13;2;12;66;76;53;75;25203;831;133;98.5;3.9;2.4;46.6;24.9;623;329;65.4;4.2;453;240;65.4;3.4
801;2;2;10;2;3;2;4;0;0;0;0;0;0;12;5;3;5;71;71;65;32;10794;1073;88;100.3;3.0;2.3;37.4;30.0;207;175;54.2;1.4;150;129;53.8;2.6
806;18;18;14;2;6;2;6;0;0;0;0;0;0;23;5;4;27;68;60;74;25;16885;911;840;104.4;3.0;2.6;27.9;40.5;260;351;42.6;-2.9;194;257;43.0;-3.3
812;13;13;6;2;0;-1;2;0;0;0;0;0;0;3;3;0;0;51;59;42;14;5510;0;0;98.1;3.9;4.6;34.0;34.0;94;99;48.7;1.3;73;69;51.4;3.6
815;18;18;14;0;3;-7;0;0;0;0;0;0;0;25;4;1;9;56;59;49;19;13888;0;30;98.7;1.8;3.6;25.4;43.0;195;302;39.2;-7.3;149;227;39.6;-7.9
841;6;6;4;0;0;-5;0;0;0;0;0;0;0;5;1;4;9;59;55;58;13;4978;0;42;88.5;0.7;4.3;26.0;30.4;73;80;47.7;0.9;53;57;48.2;-0.1
844;19;19;7;2;3;2;4;0;0;0;0;0;0;15;4;2;2;61;65;54;13;9109;80;92;104.3;2.4;1.6;30.8;47.0;130;225;36.6;-7.8;105;165;38.9;-7.5
872;15;15;9;6;4;2;0;0;0;0;0;0;0;4;4;5;14;63;63;60;28;10184;386;458;101.4;4.2;3.5;34.6;32.5;195;174;52.8;-6.3;142;128;52.6;-7.5
883;13;13;6;0;2;1;0;0;0;0;0;0;0;10;1;3;6;55;56;54;6;5180;0;157;105.0;1.4;0.7;22.2;54.2;69;137;33.5;-20.0;51;101;33.6;-21.4
920;6;6;4;0;2;-7;0;0;0;0;0;0;0;6;0;0;8;53;65;40;5;4017;0;85;80.0;0.0;6.3;21.5;31.4;49;69;41.5;-7.7;37;52;41.6;-9.3
922;2;2;10;1;5;2;0;0;0;0;0;0;0;9;4;3;2;62;65;54;16;11440;299;232;103.5;3.1;2.5;29.6;35.2;194;191;50.4;-4.2;142;151;48.5;-5.3
928;13;13;6;0;5;0;2;0;0;0;0;0;0;14;5;3;20;72;68;73;13;7544;873;270;98.9;2.9;2.9;35.3;31.0;136;124;52.3;7.1;105;85;55.3;10.2
933;1;1;23;1;7;-1;2;0;0;0;0;0;0;32;6;12;46;58;58;54;52;27200;502;853;98.4;3.0;3.3;35.2;32.3;502;468;51.8;-1.1;368;335;52.3;0.0
934;3;3;4;3;1;0;4;1;0;0;0;0;0;10;0;0;2;63;75;51;11;4477;392;80;101.4;2.4;2.4;30.6;37.0;66;88;42.9;11.6;49;71;40.8;9.5
