PlayerId;TeamId;FranchiseId;GP;G;A;+/-;PIM;PP G;PP A;SH G;SH A;Fights;Fights_Won;HIT;GvA;TkA;SB;GR;Game Rating Off;Game Rating Def;SOG;TOI;PPTOI;SHTOI;PDO;GF/60;GA/60;SF/60;SA/60;CF;CA;CF%;CF% rel;FF;FA;FF%;FF% rel
742;6;6;66;5;14;-12;8;0;0;0;0;0;0;55;39;16;57;54;48;58;111;70553;51;2923;97.8;2.6;3.3;35.5;34.3;1244;1275;49.4;-6.3;942;934;50.2;-5.3
746;4;4;66;5;11;-23;8;0;0;0;1;0;0;19;12;20;88;54;51;58;61;52440;2254;4670;101.4;2.5;4.1;22.9;43.9;644;1181;35.3;0.9;464;878;34.6;0.5
750;20;20;66;29;37;-21;18;10;11;0;1;0;0;55;27;35;92;73;74;66;222;73198;9153;5174;98.3;2.8;3.8;33.1;38.3;1272;1424;47.2;2.8;926;1042;47.1;3.2
751;10;10;66;2;13;-8;16;0;2;0;0;0;0;173;30;14;129;55;50;56;80;77470;1786;5845;101.1;2.3;2.7;25.7;33.8;1074;1434;42.8;-0.6;768;1034;42.6;-0.9
768;1;1;66;22;35;13;14;5;13;0;0;0;0;105;32;12;31;60;66;53;237;66489;11179;360;97.4;3.2;2.5;45.2;25.5;1552;928;62.6;1.8;1161;666;63.5;3.2
779;0;0;66;10;11;24;4;0;0;0;0;0;0;76;21;9;45;57;51;60;104;64198;0;756;99.9;4.0;2.6;42.3;27.6;1486;927;61.6;-3.1;1078;676;61.5;-2.7
782;10;10;66;13;12;-19;23;0;0;0;0;1;0;22;29;13;93;58;62;55;111;69255;8;25;100.4;1.8;2.8;22.4;36.4;808;1376;37.0;-8.8;598;998;37.5;-8.2
786;3;3;66;29;43;16;0;8;12;0;1;0;0;67;30;28;96;70;73;63;211;71820;8451;1384;101.5;3.5;2.7;34.4;31.3;1276;1113;53.4;-2.0;944;827;53.3;-1.2
787;4;4;66;2;12;-1;6;0;1;0;0;0;0;31;21;6;13;54;50;57;41;36817;42;3100;106.1;3.3;3.5;23.8;44.9;448;792;36.1;1.8;334;601;35.7;1.8
789;4;4;66;11;20;-50;18;1;3;0;0;0;0;58;32;27;140;66;60;69;125;87710;8258;3003;100.3;2.1;4.1;22.3;44.5;1042;2036;33.9;-1.3;763;1496;33.8;-0.7
791;4;4;66;12;7;-17;18;0;0;0;0;0;0;28;23;21;19;53;55;50;78;62660;240;92;103.8;2.1;3.1;19.0;41.8;640;1361;32.0;-3.6;473;1001;32.1;-2.9
794;0;0;65;17;54;42;8;2;10;0;0;0;0;83;27;13;45;68;78;55;265;73663;8175;3756;101.2;4.6;2.3;43.8;25.4;1723;956;64.3;3.7;1268;707;64.2;3.7
801;2;2;66;49;50;15;6;13;17;0;0;0;0;101;38;29;26;76;84;61;322;71367;11916;2920;98.8;3.9;2.9;42.4;27.7;1637;1044;61.1;-4.2;1167;791;59.6;-6.1
806;18;18;66;11;35;2;12;4;8;0;0;0;0;103;38;24;106;68;62;72;183;71944;10469;3603;99.7;3.1;3.0;36.2;33.4;1333;1251;51.6;-2.5;992;930;51.6;-2.8
812;13;13;66;21;22;29;32;0;0;0;0;0;0;69;27;11;42;56;62;48;121;62618;49;269;104.2;4.6;2.9;38.1;37.0;1181;1197;49.7;-3.6;910;881;50.8;-2.4
815;18;18;66;10;16;1;10;0;0;0;0;0;0;108;40;22;51;60;60;54;123;67756;181;678;100.3;2.6;2.6;34.3;34.9;1196;1192;50.1;-4.6;884;897;49.6;-5.6
841;6;6;66;6;19;6;18;0;0;0;1;0;0;58;22;33;127;62;59;64;168;74065;274;4490;98.3;3.3;3.1;36.7;28.6;1445;1077;57.3;5.6;1078;786;57.8;6.1
844;19;19;68;10;32;9;12;0;1;0;0;0;0;93;34;15;54;61;70;50;155;74762;757;2709;99.4;3.8;3.3;38.2;31.6;1587;1215;56.6;-3.7;1140;925;55.2;-5.7
872;15;15;66;11;29;24;12;0;3;0;0;0;0;64;36;27;91;62;61;59;167;70588;3080;5867;101.9;3.2;1.9;36.6;28.0;1366;1045;56.7;-3.9;996;775;56.2;-4.6
883;13;13;66;1;17;8;16;0;0;0;0;0;0;68;22;21;112;57;55;58;96;57907;113;1834;102.1;3.8;3.3;36.2;39.5;1109;1165;48.8;-4.8;824;864;48.8;-5.2
917;20;20;66;25;22;-30;24;3;2;0;0;0;0;90;39;15;70;69;67;62;184;75456;2601;3440;98.0;2.3;3.8;28.3;36.9;1141;1461;43.9;-2.2;823;1080;43.2;-2.6
920;6;6;66;11;19;3;26;0;0;0;0;0;0;105;38;23;87;56;60;51;126;71065;21;2107;99.0;2.8;2.6;34.9;29.5;1274;1117;53.3;-0.4;967;811;54.4;0.9
922;2;2;66;24;46;43;20;1;2;1;1;0;0;103;37;30;26;69;74;58;222;71694;2970;4242;100.5;4.3;2.2;46.5;25.6;1792;974;64.8;1.5;1323;701;65.4;2.6
928;13;13;66;20;39;25;30;3;2;1;0;0;0;116;39;45;182;74;70;76;229;81794;9774;4185;101.1;3.8;2.7;38.4;31.3;1614;1350;54.5;3.5;1197;981;55.0;3.9
933;1;1;66;6;23;25;10;0;0;0;0;0;0;60;31;27;93;56;54;57;177;71645;2466;4518;99.1;4.0;2.7;45.3;27.5;1648;1012;62.0;0.9;1235;759;61.9;0.9
934;3;3;66;22;41;28;8;2;4;0;0;0;0;90;41;18;97;69;76;58;158;73049;3963;4320;102.8;3.8;2.4;34.8;29.2;1307;1091;54.5;-0.4;969;813;54.4;0.4
947;10;10;66;24;31;14;24;2;4;1;0;0;0;10;38;43;86;67;73;57;206;76325;6524;1146;102.7;3.3;2.7;31.6;34.2;1277;1366;48.3;8.0;932;1000;48.2;7.8
959;4;4;66;2;7;-68;6;0;0;0;0;0;0;55;20;12;29;48;51;43;69;84631;1051;2278;99.0;2.0;4.9;20.5;45.6;952;2036;31.9;-4.7;683;1481;31.6;-4.4
962;12;12;66;21;34;-27;15;2;8;1;2;1;0;133;53;33;84;71;74;62;203;70258;8070;8901;98.9;2.9;4.3;29.0;38.5;1030;1403;42.3;7.3;767;1042;42.4;7.6
965;5;5;66;17;36;-14;22;5;9;0;0;0;0;61;33;24;68;75;75;73;241;82288;8540;2685;97.4;2.9;3.5;37.2;33.9;1594;1451;52.3;7.9;1194;1070;52.7;8.6
968;2;2;66;8;28;33;19;0;1;0;0;1;0;90;21;27;185;62;61;61;182;74768;2501;2147;99.7;4.4;2.8;46.2;28.7;1788;1124;61.4;-3.8;1301;822;61.3;-3.7
970;4;4;66;13;28;-39;10;2;6;0;0;0;0;30;32;35;154;67;63;67;141;67989;8278;3220;99.4;2.4;4.4;24.2;42.2;852;1483;36.5;2.7;618;1099;36.0;2.6
971;19;19;66;22;38;17;14;0;6;1;0;0;0;96;38;33;77;73;72;68;199;78430;10423;3261;101.3;3.8;2.8;37.3;31.8;1537;1344;53.3;0.1;1164;989;54.1;0.5
980;5;5;66;18;18;-8;23;0;0;0;0;1;0;90;42;13;79;54;63;45;131;69957;104;248;100.3;3.4;3.8;34.0;39.1;1165;1402;45.4;-3.1;870;1028;45.8;-2.4
981;12;12;66;3;15;-29;18;0;0;0;0;0;0;101;51;13;104;58;50;63;95;78530;1996;6138;100.7;2.1;3.4;23.0;40.8;946;1690;35.9;-2.8;690;1229;36.0;-2.5
997;7;7;66;6;19;4;22;0;0;0;0;0;0;39;31;13;17;52;56;46;102;69170;11;1869;99.6;2.7;2.5;37.7;32.9;1313;1198;52.3;-0.8;999;883;53.1;-0.4
1016;4;4;66;26;31;-33;4;3;3;0;1;0;0;16;53;31;201;67;72;64;200;83891;8247;3049;102.8;3.0;4.4;23.8;45.2;1043;1918;35.2;1.0;765;1447;34.6;0.7
1018;9;9;66;19;45;24;28;3;9;0;0;0;0;129;31;17;66;68;71;60;199;66558;10135;340;102.2;4.0;2.6;38.3;31.6;1338;1020;56.7;2.6;986;782;55.8;1.6
1038;2;2;66;11;23;48;14;1;1;1;0;0;0;77;22;23;58;57;54;58;184;71473;2674;2883;100.6;4.4;2.0;46.0;22.7;1750;864;66.9;4.6;1308;648;66.9;4.8
1041;21;21;66;14;18;-9;8;0;0;0;0;0;0;59;32;9;5;49;56;41;115;67681;59;1270;101.9;3.1;3.6;27.8;39.4;1026;1382;42.6;-6.2;756;1003;43.0;-6.0
1045;2;2;66;28;41;50;12;0;1;0;1;0;0;140;49;14;6;69;78;56;214;72043;2815;1835;100.3;4.8;2.4;47.1;24.4;1762;905;66.1;3.3;1316;676;66.1;3.6
1049;15;15;66;26;38;16;6;4;8;0;1;0;0;112;45;26;37;73;73;65;216;71928;6289;4335;99.4;3.5;2.7;38.6;27.3;1453;1027;58.6;-1.1;1083;762;58.7;-1.0
1069;4;4;19;1;2;-2;0;0;0;0;0;0;0;7;2;1;7;48;49;48;7;10368;0;927;110.3;3.8;4.5;20.8;56.2;108;276;28.1;-6.3;86;204;29.7;-4.2
1079;11;11;66;4;9;-45;12;0;0;0;1;0;0;35;50;26;202;59;51;67;59;65293;2165;6264;100.3;1.7;4.2;18.1;45.8;674;1581;29.9;-2.8;480;1165;29.2;-3.9
1087;7;7;66;7;23;8;20;1;4;0;0;2;0;119;36;26;192;61;54;66;157;72643;3165;6636;99.6;3.1;2.7;38.6;32.0;1382;1220;53.1;0.4;1068;911;54.0;1.0
1100;15;15;66;5;23;21;24;0;0;0;0;0;0;34;32;24;43;56;59;51;121;68978;0;107;101.3;3.0;1.9;36.5;27.7;1328;1020;56.6;-4.0;961;753;56.1;-4.7
1113;3;3;66;14;22;25;24;0;0;0;1;0;0;78;20;26;57;59;60;57;133;72940;293;3480;101.3;3.6;2.4;35.9;27.5;1432;988;59.2;6.7;1025;744;57.9;5.7
1118;15;15;66;7;19;26;87;0;0;0;0;5;2;350;41;14;59;67;54;68;108;64411;32;1035;100.2;3.8;2.3;40.6;25.5;1330;895;59.8;0.7;974;628;60.8;2.1
1130;0;0;66;15;38;66;20;1;1;0;1;0;0;108;38;25;110;66;58;71;171;74147;3428;3456;103.9;5.1;1.9;46.2;26.4;1784;1010;63.9;0.2;1288;745;63.4;-0.0
1133;15;15;66;5;21;1;14;0;2;0;0;0;0;87;33;35;92;61;58;62;159;75200;2739;1043;98.5;2.8;2.7;36.5;29.9;1499;1159;56.4;-4.5;1094;874;55.6;-5.8
1144;5;5;66;4;30;-19;10;1;5;0;0;0;0;47;29;21;61;61;69;52;136;76662;2942;223;98.4;2.0;2.9;30.3;35.3;1270;1415;47.3;-0.2;912;1038;46.8;-1.0
1147;11;11;66;2;12;-28;16;0;3;1;0;0;0;65;45;34;140;61;52;68;90;70563;3113;6498;101.8;2.0;3.3;21.2;43.7;810;1630;33.2;2.2;605;1191;33.7;2.8
1148;21;21;66;18;33;-7;32;5;10;0;0;0;0;79;49;32;49;67;67;61;184;72351;11535;1526;100.1;2.9;3.1;31.1;34.1;1220;1297;48.5;2.4;901;950;48.7;2.5
1151;7;7;66;10;18;3;14;0;0;0;0;0;0;67;40;14;36;59;66;51;118;69584;73;3469;99.2;2.7;2.6;35.6;31.8;1254;1205;51.0;-2.8;956;881;52.0;-1.9
1156;3;3;66;5;22;-4;20;0;1;0;1;0;0;87;28;27;37;55;55;52;115;79265;151;5343;98.7;2.7;2.9;32.9;30.7;1374;1260;52.2;-4.0;1016;929;52.2;-2.9
1167;20;20;66;6;17;-30;16;0;0;0;1;0;0;107;22;16;64;51;56;45;96;71388;29;1161;97.6;2.2;3.8;28.7;37.4;1083;1418;43.3;-3.0;787;1041;43.1;-2.8
1170;0;0;66;22;59;35;24;6;12;0;0;0;0;41;39;24;9;67;79;53;285;73207;9708;312;98.5;4.3;2.6;47.6;24.7;1824;926;66.3;3.9;1323;677;66.1;4.2
1172;15;15;66;23;35;16;6;3;8;0;1;0;0;70;36;31;65;67;76;55;235;70385;10030;4072;99.3;3.5;2.7;38.6;27.5;1427;1011;58.5;-1.2;1063;748;58.7;-1.0
1173;21;21;66;10;14;-11;14;1;0;0;0;0;0;116;30;24;161;63;56;68;126;68641;1572;3429;100.6;2.8;3.4;30.1;38.4;1103;1368;44.6;-3.3;819;985;45.4;-2.4
1190;7;7;66;15;28;13;20;3;2;1;0;0;0;106;40;21;44;67;67;61;160;71456;3288;3694;100.4;2.7;2.1;36.6;30.1;1353;1169;53.6;1.2;1018;853;54.4;1.6
1194;7;7;66;24;40;25;30;7;8;0;2;0;0;106;38;37;11;72;73;65;221;71331;11083;6008;102.9;3.2;1.9;36.0;31.5;1349;1226;52.4;-0.7;996;903;52.4;-1.4
1196;2;2;66;15;33;28;10;1;0;0;0;0;0;90;30;20;33;57;63;49;169;70499;298;458;99.1;3.9;2.5;45.8;26.0;1708;979;63.6;-0.4;1265;719;63.8;0.1
1201;6;6;66;14;27;14;18;2;5;0;0;0;0;83;21;42;135;63;61;63;179;71673;8052;6554;101.5;3.2;2.5;34.8;32.6;1317;1154;53.3;-0.4;979;882;52.6;-1.7
1209;20;20;66;6;11;-38;14;0;1;0;0;0;0;79;16;20;120;54;55;53;83;57845;2116;1127;96.3;2.2;4.5;27.3;39.1;876;1218;41.8;-4.8;614;876;41.2;-5.1
1215;19;19;66;13;27;0;16;0;1;1;0;0;0;94;51;47;72;65;57;65;165;61413;4308;5563;97.6;3.1;3.2;39.0;30.4;1195;994;54.6;1.9;901;737;55.0;1.8
1223;5;5;66;11;16;-12;10;4;1;0;1;0;0;30;33;30;35;56;56;54;150;75373;2848;1697;99.5;2.7;3.3;31.9;36.9;1271;1448;46.7;-1.1;907;1061;46.1;-2.0
1229;0;0;66;13;31;62;8;1;3;0;0;0;0;102;36;19;107;62;62;60;205;74425;2538;1476;103.5;5.0;2.0;45.7;26.7;1796;1012;64.0;0.3;1288;750;63.2;-0.3
1239;2;2;66;11;29;34;2;2;0;0;0;0;0;71;36;11;60;57;62;50;143;70125;2278;1222;100.9;4.1;2.4;42.6;26.9;1650;1017;61.9;-2.9;1179;753;61.0;-3.9
1242;4;4;66;9;24;-16;10;2;4;1;1;0;0;49;51;37;136;68;56;80;139;91635;8227;7219;103.2;2.6;3.3;23.2;40.5;1109;1920;36.6;3.4;809;1462;35.6;2.5
1246;19;19;66;6;27;6;22;0;0;0;1;0;0;134;36;17;98;66;53;76;108;76599;314;3918;98.2;3.3;3.1;36.8;28.3;1520;1148;57.0;5.7;1114;866;56.3;3.8
1248;12;12;66;7;12;-21;18;1;0;0;2;0;0;128;23;36;178;59;53;63;121;80290;2081;6215;99.9;2.3;3.3;25.9;36.5;1081;1543;41.2;5.8;771;1127;40.6;5.0
1253;20;20;66;7;19;-22;20;2;0;0;0;0;0;98;34;30;89;55;57;53;139;77793;2282;3580;97.3;2.7;3.8;32.8;34.5;1359;1421;48.9;5.5;992;1047;48.7;5.8
1254;7;7;66;18;27;4;36;0;4;0;0;0;0;67;35;19;33;58;65;49;160;69863;3358;292;98.6;3.2;2.9;38.1;29.9;1351;1123;54.6;2.6;1007;822;55.1;2.5
